Segment,Recency,Frequency,Monetary
Lost / Low Value,27,1,41.05
Loyal Customers,29,4,611.8
Loyal Customers,20,2,566.59
Loyal Customers,61,4,1490.75
Hibernating,24,1,160.04999999999998
Champions (VIP),11,25,5931.84
Loyal Customers,242,3,1069.77
Hibernating,280,2,384.90999999999997
Hibernating,235,2,578.57
Loyal Customers,3,5,1334.64
Hibernating,16,1,428.01
Occasional / At Risk,31,5,702.12
Champions (VIP),25,15,3943.2
Occasional / At Risk,71,3,120.0
Loyal Customers,26,5,1141.96
Hibernating,107,1,217.01999999999998
Champions (VIP),8,20,3705.92
Lost / Low Value,209,1,104.85
Loyal Customers,44,2,299.4
Loyal Customers,31,5,1861.94
Loyal Customers,137,4,558.55
Lost / Low Value,265,1,45.4
Champions (VIP),4,7,1750.74
Lost / Low Value,218,2,96.56
Champions (VIP),2,5,1049.07
Lost / Low Value,214,1,109.13000000000001
Loyal Customers,32,3,1344.33
Champions (VIP),11,9,1702.59
Champions (VIP),1,17,2345.54
Hibernating,15,1,318.17
Champions (VIP),20,7,1288.44
Occasional / At Risk,3,2,525.81
Champions (VIP),15,13,4341.82
Loyal Customers,14,4,541.63
Champions (VIP),10,11,1786.67
Loyal Customers,29,3,851.73
Champions (VIP),9,11,2147.15
Lost / Low Value,24,1,46.9
Loyal Customers,25,4,687.23
Loyal Customers,43,2,213.85
Champions (VIP),2,5,1450.89
Loyal Customers,6,3,443.16
Hibernating,147,1,154.57
Champions (VIP),10,6,990.64
Hibernating,25,1,450.83
Lost / Low Value,274,1,116.03
Hibernating,374,1,290.79
Champions (VIP),1,8,1469.07
Loyal Customers,47,3,346.13
Champions (VIP),8,8,2177.19
Champions (VIP),16,12,4398.04
Champions (VIP),4,30,4182.42
Occasional / At Risk,4,3,530.35
Loyal Customers,43,7,1154.7
Occasional / At Risk,20,6,745.38
Loyal Customers,197,3,1283.86
Loyal Customers,12,6,1270.34
Occasional / At Risk,16,6,416.48
Loyal Customers,113,5,1085.5
Lost / Low Value,249,1,176.95000000000002
Loyal Customers,29,5,1330.09
Lost / Low Value,44,1,129.0
Hibernating,87,1,526.75
Occasional / At Risk,45,2,608.3
Champions (VIP),10,11,4106.17
Hibernating,15,1,577.36
Hibernating,75,1,395.5
Loyal Customers,145,4,711.82
Loyal Customers,5,3,1073.07
Lost / Low Value,297,1,89.2
Occasional / At Risk,59,2,255.9
Hibernating,264,1,277.12
Lost / Low Value,47,1,79.8
Occasional / At Risk,29,3,159.76
Champions (VIP),8,6,2282.42
Occasional / At Risk,17,2,192.60000000000002
Champions (VIP),3,8,8259.55
Hibernating,232,2,622.37
Lost / Low Value,112,1,126.50999999999999
Loyal Customers,58,3,879.42
Loyal Customers,51,11,1239.54
Occasional / At Risk,127,2,691.0600000000001
Hibernating,281,3,187.55
Hibernating,55,2,400.88
Lost / Low Value,320,1,110.10000000000001
Occasional / At Risk,26,2,231.32000000000002
Lost / Low Value,15,1,39.480000000000004
Loyal Customers,7,2,593.82
Lost / Low Value,29,1,169.2
Occasional / At Risk,17,4,554.46
Lost / Low Value,64,1,6.2
Hibernating,21,1,228.99
Champions (VIP),3,6,1060.06
Lost / Low Value,166,1,4.25
Champions (VIP),1,17,7081.17
Occasional / At Risk,53,3,173.74
Lost / Low Value,51,1,32.720000000000006
Champions (VIP),48,12,3555.27
Hibernating,61,1,180.84
Occasional / At Risk,162,3,279.45
Hibernating,9,1,224.82
Occasional / At Risk,15,4,296.45
Lost / Low Value,75,1,66.0
Loyal Customers,40,7,1361.85
Champions (VIP),41,11,2035.53
Hibernating,370,2,110.93
Loyal Customers,37,2,737.22
Lost / Low Value,197,1,11.9
Hibernating,200,2,962.08
Occasional / At Risk,74,3,390.05
Occasional / At Risk,64,2,176.07
Occasional / At Risk,21,4,423.79
Lost / Low Value,367,1,48.800000000000004
Hibernating,180,3,217.18
Loyal Customers,10,4,711.71
Champions (VIP),4,12,1979.3100000000002
Lost / Low Value,254,1,10.08
Occasional / At Risk,29,4,650.83
Hibernating,53,1,179.78
Loyal Customers,18,6,1249.42
Occasional / At Risk,10,2,99.44999999999999
Loyal Customers,90,4,1613.5
Lost / Low Value,268,1,62.85
Loyal Customers,53,6,2687.08
Loyal Customers,44,4,2250.64
Loyal Customers,64,4,1986.51
Lost / Low Value,149,1,218.4
Champions (VIP),22,25,6635.39
Hibernating,312,1,317.25
Occasional / At Risk,23,2,416.55
Loyal Customers,58,6,2228.7400000000002
Occasional / At Risk,24,2,88.5
Loyal Customers,78,7,1821.58
Lost / Low Value,135,1,91.85
Loyal Customers,36,3,899.09
Loyal Customers,60,2,931.17
Loyal Customers,13,4,1190.54
Hibernating,19,1,149.44
Lost / Low Value,52,1,83.37
Loyal Customers,26,2,727.62
Hibernating,29,1,266.76
Occasional / At Risk,7,2,43.08
Occasional / At Risk,11,4,316.72
Occasional / At Risk,186,3,517.78
Champions (VIP),3,8,2629.2400000000002
Loyal Customers,9,2,599.02
Hibernating,262,1,327.25
Loyal Customers,3,4,501.28000000000003
Hibernating,210,1,346.93
Loyal Customers,108,2,788.1500000000001
Champions (VIP),13,9,1259.39
Occasional / At Risk,77,3,525.09
Hibernating,20,1,221.2
Hibernating,27,2,510.20000000000005
Loyal Customers,19,6,727.75
Lost / Low Value,132,1,102.0
Hibernating,253,1,325.0
Hibernating,207,1,369.2
Lost / Low Value,336,1,135.9
Lost / Low Value,254,1,125.65
Hibernating,148,2,468.1
Loyal Customers,10,2,1044.63
Hibernating,85,1,614.95
Champions (VIP),8,19,8175.24
Loyal Customers,205,2,457.82
Occasional / At Risk,8,4,672.58
Loyal Customers,23,6,881.02
Loyal Customers,11,8,1040.31
Hibernating,26,1,299.66
Champions (VIP),21,5,2386.43
Loyal Customers,2,2,577.12
Occasional / At Risk,158,2,371.35
Champions (VIP),3,7,2998.58
Lost / Low Value,74,1,135.3
Loyal Customers,3,4,374.65
Champions (VIP),1,193,84980.89
Occasional / At Risk,17,2,323.77
Loyal Customers,36,4,995.12
Occasional / At Risk,91,2,281.98
Loyal Customers,71,4,1165.71
Loyal Customers,116,2,1308.89
Hibernating,213,2,780.25
Loyal Customers,30,2,1255.23
Hibernating,51,1,629.6
Lost / Low Value,246,1,168.05
Hibernating,32,1,172.88
Loyal Customers,109,3,1503.6100000000001
Loyal Customers,5,4,790.88
Lost / Low Value,366,1,140.43
Loyal Customers,82,2,1246.59
Champions (VIP),34,7,5469.07
Loyal Customers,57,2,1158.68
Champions (VIP),30,12,4288.900000000001
Lost / Low Value,14,1,100.9
Occasional / At Risk,72,2,275.82
Loyal Customers,23,6,927.11
Hibernating,19,1,243.5
Hibernating,79,1,259.52
Champions (VIP),60,9,4315.92
Hibernating,25,1,202.59
Hibernating,12,1,186.2
Lost / Low Value,253,1,58.49
Occasional / At Risk,147,3,213.88
Loyal Customers,64,4,609.54
Occasional / At Risk,8,2,188.12
Champions (VIP),11,9,6021.2300000000005
Lost / Low Value,271,1,14.850000000000001
Loyal Customers,10,5,983.63
Lost / Low Value,247,1,81.75
Hibernating,96,1,461.64
Hibernating,15,1,167.9
Lost / Low Value,50,1,139.8
Hibernating,30,1,139.09
Occasional / At Risk,68,4,1465.51
Loyal Customers,35,3,808.7
Lost / Low Value,128,1,53.47
Occasional / At Risk,107,3,465.4
Lost / Low Value,37,1,79.99000000000001
Lost / Low Value,57,1,38.65
Loyal Customers,57,6,624.0600000000001
Loyal Customers,72,5,1079.27
Lost / Low Value,246,1,102.12
Occasional / At Risk,19,2,89.57000000000001
Hibernating,198,2,263.34
Hibernating,212,1,305.29
Occasional / At Risk,39,2,203.43
Occasional / At Risk,46,3,234.32
Hibernating,170,2,341.87
Hibernating,48,1,443.42
Loyal Customers,116,4,1525.66
Hibernating,147,1,823.21
Champions (VIP),16,28,5607.36
Hibernating,51,1,430.03000000000003
Lost / Low Value,159,1,146.96
Loyal Customers,12,3,1159.28
Hibernating,36,1,263.19
Loyal Customers,54,2,343.19
Occasional / At Risk,43,2,175.17000000000002
Lost / Low Value,173,1,100.24000000000001
Hibernating,34,1,115.63
Occasional / At Risk,39,3,275.36
Hibernating,267,1,225.85999999999999
Champions (VIP),9,9,1544.1200000000001
Loyal Customers,12,3,737.67
Champions (VIP),3,11,4469.84
Champions (VIP),10,9,1470.33
Hibernating,33,1,342.06
Loyal Customers,80,3,343.75
Occasional / At Risk,31,4,516.35
Occasional / At Risk,8,4,520.84
Lost / Low Value,268,1,20.4
Loyal Customers,4,4,468.34000000000003
Occasional / At Risk,256,2,315.25
Champions (VIP),5,10,2283.85
Champions (VIP),16,8,3008.01
Hibernating,90,1,227.29000000000002
Loyal Customers,72,3,341.11
Loyal Customers,59,6,383.54
Champions (VIP),10,45,13964.12
Hibernating,170,1,151.48
Lost / Low Value,199,1,46.68
Champions (VIP),19,17,5448.25
Lost / Low Value,152,1,60.06
Champions (VIP),9,15,2332.68
Hibernating,270,1,329.7
Loyal Customers,65,4,281.3
Lost / Low Value,274,1,40.050000000000004
Loyal Customers,25,3,982.29
Loyal Customers,23,3,1186.13
Hibernating,319,1,127.83
Loyal Customers,5,3,519.59
Loyal Customers,12,2,277.95
Hibernating,275,2,807.0
Champions (VIP),25,11,1836.89
Loyal Customers,41,9,1057.8700000000001
Loyal Customers,8,4,267.5
Champions (VIP),4,33,6687.17
Loyal Customers,71,4,912.38
Lost / Low Value,213,1,70.19999999999999
Loyal Customers,38,4,2234.06
Hibernating,53,1,701.79
Loyal Customers,78,3,1277.2
Loyal Customers,46,2,453.45
Hibernating,179,1,825.48
Occasional / At Risk,94,2,601.82
Loyal Customers,10,3,1043.41
Hibernating,105,1,735.67
Hibernating,78,1,496.78
Hibernating,173,1,771.3
Champions (VIP),7,31,9220.62
Loyal Customers,213,3,610.5600000000001
Occasional / At Risk,22,5,378.7
Lost / Low Value,257,1,62.699999999999996
Hibernating,282,1,220.06
Loyal Customers,21,2,825.52
Champions (VIP),10,6,1906.6100000000001
Hibernating,308,1,263.12
Hibernating,68,1,446.71
Occasional / At Risk,215,2,279.61
Loyal Customers,18,6,1807.28
Loyal Customers,104,4,796.74
Hibernating,43,1,206.89000000000001
Hibernating,4,1,215.08
Hibernating,84,1,238.70000000000002
Occasional / At Risk,9,2,120.13000000000001
Loyal Customers,31,2,573.46
Hibernating,197,2,571.49
Champions (VIP),18,7,1728.99
Loyal Customers,18,5,1235.45
Occasional / At Risk,334,3,104.10000000000001
Loyal Customers,142,3,983.5500000000001
Hibernating,246,1,327.15000000000003
Occasional / At Risk,24,4,620.4
Loyal Customers,29,3,1339.68
Loyal Customers,10,3,1589.8
Champions (VIP),30,10,2650.16
Hibernating,18,1,238.81
Loyal Customers,18,4,1092.68
Loyal Customers,15,5,1146.73
Lost / Low Value,246,1,162.8
Hibernating,134,1,244.4
Occasional / At Risk,50,2,399.07
Loyal Customers,114,3,1286.28
Loyal Customers,7,2,1818.6299999999999
Occasional / At Risk,23,2,126.5
Loyal Customers,61,9,2362.7
Hibernating,66,1,346.53
Loyal Customers,60,4,1307.74
Loyal Customers,50,10,1583.27
Hibernating,170,1,330.11
Loyal Customers,18,5,791.69
Occasional / At Risk,128,3,584.1800000000001
Loyal Customers,15,8,1299.55
Lost / Low Value,239,1,139.05
Loyal Customers,3,4,1234.5
Occasional / At Risk,240,2,169.84
Loyal Customers,52,7,1604.01
Hibernating,46,1,430.52
Hibernating,226,1,239.55
Champions (VIP),8,17,5997.62
Loyal Customers,4,4,921.73
Loyal Customers,165,2,1164.52
Hibernating,240,1,382.0
Hibernating,11,1,301.29
Hibernating,134,1,327.45000000000005
Champions (VIP),17,10,4592.19
Champions (VIP),10,13,3794.9900000000002
Hibernating,31,1,251.82
Hibernating,75,1,170.08
Loyal Customers,1,3,762.39
Loyal Customers,4,3,1408.73
Lost / Low Value,45,1,119.76
Champions (VIP),2,28,14334.960000000001
Lost / Low Value,357,1,51.96
Occasional / At Risk,18,2,278.77
Loyal Customers,69,3,759.08
Hibernating,373,1,362.7
Hibernating,321,1,134.4
Lost / Low Value,26,1,58.86
Loyal Customers,9,5,1385.88
Lost / Low Value,323,1,120.63
Hibernating,72,1,212.5
Lost / Low Value,260,1,40.5
Loyal Customers,18,4,1533.79
Lost / Low Value,367,1,87.5
Occasional / At Risk,66,3,194.99999999999997
Occasional / At Risk,154,2,605.85
Loyal Customers,29,2,283.45
Hibernating,70,1,139.92000000000002
Occasional / At Risk,14,2,349.85
Champions (VIP),2,12,1994.24
Champions (VIP),1,39,5114.18
Occasional / At Risk,120,3,618.6
Hibernating,61,1,336.95
Champions (VIP),3,15,5099.79
Occasional / At Risk,11,3,451.11
Occasional / At Risk,92,2,193.64
Occasional / At Risk,59,4,418.70000000000005
Loyal Customers,87,5,1116.54
Loyal Customers,26,6,1757.4
Lost / Low Value,357,1,157.5
Hibernating,85,2,425.25
Occasional / At Risk,10,4,420.29999999999995
Occasional / At Risk,1,5,442.57
Hibernating,225,1,211.2
Occasional / At Risk,60,2,670.9100000000001
Lost / Low Value,241,1,62.0
Hibernating,319,2,328.35
Champions (VIP),2,8,1497.14
Loyal Customers,47,3,494.24
Lost / Low Value,88,1,33.0
Champions (VIP),11,10,3102.65
Lost / Low Value,176,1,152.8
Loyal Customers,52,6,1560.45
Lost / Low Value,366,1,162.60000000000002
Hibernating,226,2,444.55
Hibernating,358,2,244.13
Hibernating,234,1,344.70000000000005
Lost / Low Value,311,1,128.91
Loyal Customers,37,5,891.78
Loyal Customers,66,4,2337.55
Hibernating,239,2,429.6
Hibernating,113,2,358.06
Hibernating,277,1,187.88
Loyal Customers,218,12,2015.51
Hibernating,299,1,321.05
Champions (VIP),2,4,1252.38
Loyal Customers,29,3,747.23
Loyal Customers,10,2,749.67
Loyal Customers,45,5,1168.8
Loyal Customers,67,8,1347.01
Hibernating,74,1,316.68
Occasional / At Risk,65,2,565.17
Loyal Customers,134,3,1490.76
Occasional / At Risk,238,2,458.1
Lost / Low Value,122,1,111.19999999999999
Champions (VIP),32,13,6298.46
Occasional / At Risk,91,7,1307.12
Loyal Customers,36,2,740.78
Loyal Customers,16,5,847.29
Hibernating,127,1,253.32
Hibernating,67,1,865.35
Lost / Low Value,149,1,98.45
Lost / Low Value,283,1,40.2
Hibernating,169,2,386.76
Loyal Customers,100,6,1595.27
Hibernating,135,1,254.82
Lost / Low Value,324,1,161.95000000000002
Lost / Low Value,107,1,139.51
Hibernating,64,1,393.74
Loyal Customers,151,2,1076.52
Lost / Low Value,338,1,47.7
Lost / Low Value,24,1,118.80000000000001
Occasional / At Risk,16,6,842.0500000000001
Champions (VIP),7,15,2183.04
Hibernating,57,2,502.26
Loyal Customers,4,2,681.77
Hibernating,38,1,473.29
Hibernating,66,1,95.38
Hibernating,47,1,241.98
Hibernating,355,1,240.45
Lost / Low Value,172,1,87.62
Loyal Customers,59,9,1900.68
Lost / Low Value,50,1,240.55
Occasional / At Risk,22,2,414.69
Loyal Customers,43,5,2074.12
Loyal Customers,29,3,689.46
Champions (VIP),5,18,3920.12
Champions (VIP),26,11,2234.16
Hibernating,201,1,111.69
Loyal Customers,51,6,2874.4700000000003
Loyal Customers,10,3,624.94
Champions (VIP),2,11,3106.88
Hibernating,64,1,454.44
Champions (VIP),51,11,3478.54
Hibernating,290,1,444.42
Occasional / At Risk,61,5,242.60000000000002
Loyal Customers,64,3,854.02
Lost / Low Value,96,1,119.20000000000002
Hibernating,274,1,218.25
Champions (VIP),1,91,17712.96
Loyal Customers,75,4,843.25
Lost / Low Value,110,1,52.0
Hibernating,199,1,314.05
Hibernating,64,2,475.21999999999997
Hibernating,4,1,284.9
Lost / Low Value,284,1,145.0
Hibernating,44,1,189.03
Loyal Customers,71,3,2062.64
Hibernating,86,1,606.66
Hibernating,104,1,161.74
Hibernating,334,1,311.71
Lost / Low Value,53,1,125.1
Loyal Customers,39,3,830.95
Lost / Low Value,32,1,29.759999999999998
Hibernating,370,3,1266.86
Hibernating,208,1,238.0
Hibernating,157,3,337.92
Hibernating,54,1,161.72
Loyal Customers,66,2,528.71
Hibernating,81,1,732.96
Hibernating,130,1,391.14
Lost / Low Value,87,1,153.7
Occasional / At Risk,32,2,187.79000000000002
Hibernating,46,1,230.39000000000001
Hibernating,333,1,252.42000000000002
Lost / Low Value,366,1,81.60000000000001
Lost / Low Value,72,1,158.04
Hibernating,158,2,357.46
Lost / Low Value,373,1,115.65
Champions (VIP),12,7,1632.8600000000001
Hibernating,255,2,548.27
Occasional / At Risk,29,2,189.3
Champions (VIP),31,10,2680.48
Champions (VIP),5,22,7616.46
Hibernating,40,1,427.93
Lost / Low Value,362,1,139.8
Hibernating,373,1,310.1
Occasional / At Risk,96,2,675.59
Loyal Customers,26,7,2115.7200000000003
Occasional / At Risk,75,2,529.94
Loyal Customers,57,4,1690.8500000000001
Loyal Customers,71,5,1495.2
Champions (VIP),8,10,1400.01
Lost / Low Value,129,1,25.200000000000003
Loyal Customers,40,3,1081.01
Loyal Customers,169,7,3192.81
Occasional / At Risk,9,4,268.54
Lost / Low Value,268,1,143.1
Champions (VIP),15,6,5136.82
Occasional / At Risk,170,2,591.91
Lost / Low Value,40,1,142.46
Hibernating,186,1,370.74
Lost / Low Value,270,1,140.54
Loyal Customers,5,4,1374.49
Occasional / At Risk,16,2,231.86
Loyal Customers,10,4,1743.69
Lost / Low Value,326,1,74.55000000000001
Hibernating,113,1,204.28
Lost / Low Value,290,1,94.0
Loyal Customers,16,2,1283.63
Loyal Customers,1,3,768.97
Occasional / At Risk,128,3,208.6
Hibernating,149,2,396.39
Lost / Low Value,189,1,128.84
Occasional / At Risk,31,2,331.79
Loyal Customers,34,4,652.74
Hibernating,264,1,121.98
Loyal Customers,84,8,2612.19
Loyal Customers,26,4,1022.2
Lost / Low Value,171,1,49.79
Loyal Customers,10,3,675.45
Hibernating,313,1,465.09000000000003
Loyal Customers,65,4,2990.0
Hibernating,85,1,508.8
Lost / Low Value,25,1,84.74
Loyal Customers,59,4,856.94
Lost / Low Value,323,2,97.7
Lost / Low Value,38,1,7.5
Hibernating,254,2,304.14
Loyal Customers,19,5,1196.07
Loyal Customers,33,3,1254.35
Lost / Low Value,15,1,75.06
Loyal Customers,27,2,321.68
Hibernating,23,1,171.19
Hibernating,214,2,533.3
Loyal Customers,8,5,833.86
Hibernating,22,1,109.94
Loyal Customers,12,3,911.15
Hibernating,262,1,183.71
Hibernating,131,1,137.13
Loyal Customers,55,3,307.18
Champions (VIP),2,7,2677.03
Loyal Customers,9,2,1253.81
Lost / Low Value,264,1,68.1
Lost / Low Value,331,1,129.67
Hibernating,313,1,405.04
Loyal Customers,26,3,903.26
Hibernating,30,1,388.94
Loyal Customers,30,3,492.83
Champions (VIP),2,7,1160.12
Hibernating,362,1,157.2
Hibernating,283,3,356.17
Hibernating,262,1,217.17
Lost / Low Value,25,1,142.92
Hibernating,354,1,167.16
Occasional / At Risk,94,3,144.6
Lost / Low Value,29,1,119.3
Hibernating,338,1,713.25
Champions (VIP),20,18,1854.59
Hibernating,85,1,324.58
Loyal Customers,9,3,499.93
Hibernating,51,1,377.91
Occasional / At Risk,50,2,282.1
Loyal Customers,2,1,356.13
Hibernating,113,1,335.15999999999997
Hibernating,77,1,406.31
Hibernating,40,2,862.19
Hibernating,116,1,579.25
Loyal Customers,16,9,2176.88
Hibernating,161,4,192.76
Champions (VIP),1,4,2513.27
Loyal Customers,30,3,1388.46
Loyal Customers,23,3,746.39
Loyal Customers,95,6,2358.59
Loyal Customers,28,2,504.73999999999995
Loyal Customers,33,5,1216.8600000000001
Loyal Customers,21,2,1040.08
Occasional / At Risk,18,2,498.0
Champions (VIP),3,26,11199.47
Loyal Customers,8,4,837.13
Champions (VIP),16,9,3505.42
Hibernating,363,1,122.59
Lost / Low Value,81,1,52.83
Loyal Customers,53,5,1903.86
Loyal Customers,23,3,738.21
Hibernating,172,1,296.76
Loyal Customers,189,6,771.13
Loyal Customers,12,5,530.93
Occasional / At Risk,156,2,121.0
Champions (VIP),33,17,8215.22
Champions (VIP),12,10,2024.0
Lost / Low Value,45,3,53.93
Hibernating,233,1,246.72
Loyal Customers,64,7,1700.88
Hibernating,2,1,320.7
Loyal Customers,40,7,1946.36
Hibernating,33,2,326.65
Lost / Low Value,84,1,88.51
Loyal Customers,2,3,565.97
Lost / Low Value,33,1,9.14
Champions (VIP),19,8,1481.39
Hibernating,254,1,153.43
Champions (VIP),23,11,3616.38
Loyal Customers,22,4,1067.92
Loyal Customers,8,2,1677.6000000000001
Loyal Customers,25,4,1081.49
Loyal Customers,19,3,504.42
Loyal Customers,173,4,251.8
Hibernating,163,1,86.02
Hibernating,7,1,478.46
Hibernating,11,1,185.22
Hibernating,114,1,85.13000000000001
Hibernating,288,1,117.91
Champions (VIP),9,9,3479.21
Loyal Customers,54,2,229.37
Champions (VIP),7,13,3895.23
Loyal Customers,77,3,1180.26
Loyal Customers,4,4,474.38
Hibernating,37,1,270.87
Lost / Low Value,217,1,90.12
Hibernating,60,1,382.63
Lost / Low Value,278,1,130.4
Champions (VIP),12,16,4014.34
Hibernating,24,1,201.37
Hibernating,29,1,276.26
Occasional / At Risk,12,4,520.19
Loyal Customers,22,3,1120.83
Occasional / At Risk,50,2,123.66000000000001
Lost / Low Value,19,1,59.7
Loyal Customers,3,3,724.39
Occasional / At Risk,132,2,59.160000000000004
Champions (VIP),7,12,3204.18
Loyal Customers,12,4,558.05
Champions (VIP),5,7,1745.99
Loyal Customers,32,2,414.3
Loyal Customers,178,4,438.65000000000003
Hibernating,38,1,576.33
Occasional / At Risk,151,3,209.53
Lost / Low Value,162,1,119.15
Occasional / At Risk,69,2,209.85
Loyal Customers,156,10,603.9300000000001
Loyal Customers,25,3,663.01
Loyal Customers,24,4,567.46
Hibernating,177,1,439.4
Occasional / At Risk,50,3,305.28
Hibernating,256,3,413.73
Hibernating,47,1,314.66
Lost / Low Value,71,1,199.8
Loyal Customers,16,5,1648.5
Loyal Customers,101,5,1109.14
Hibernating,35,1,324.57
Hibernating,53,1,223.68
Loyal Customers,27,2,653.6899999999999
Champions (VIP),11,14,5198.57
Occasional / At Risk,8,7,619.7
Hibernating,52,1,216.39
Loyal Customers,36,5,944.5300000000001
Loyal Customers,61,9,2570.92
Lost / Low Value,337,1,87.76
Loyal Customers,60,3,800.16
Hibernating,184,1,268.78000000000003
Lost / Low Value,52,1,112.46000000000001
Occasional / At Risk,10,10,676.71
Occasional / At Risk,36,2,180.15
Champions (VIP),10,22,8027.4800000000005
Loyal Customers,33,4,739.9499999999999
Lost / Low Value,11,1,99.60000000000001
Loyal Customers,57,3,1207.95
Loyal Customers,4,3,202.01000000000002
Champions (VIP),43,9,3050.79
Hibernating,141,1,229.43
Occasional / At Risk,117,4,511.5
Loyal Customers,104,4,1161.42
Occasional / At Risk,75,2,562.56
Champions (VIP),5,9,2584.34
Loyal Customers,45,2,977.75
Champions (VIP),16,8,2874.85
Hibernating,17,1,227.65
Occasional / At Risk,90,2,589.5600000000001
Hibernating,53,1,223.36
Hibernating,134,1,178.02
Champions (VIP),4,14,7973.33
Loyal Customers,105,4,1749.32
Occasional / At Risk,192,3,433.95000000000005
Loyal Customers,166,4,732.09
Hibernating,19,1,481.09000000000003
Occasional / At Risk,158,3,364.57000000000005
Occasional / At Risk,204,2,465.20000000000005
Occasional / At Risk,37,3,491.65999999999997
Hibernating,91,1,293.09000000000003
Lost / Low Value,116,1,48.0
Loyal Customers,9,2,380.91
Hibernating,243,1,465.57
Occasional / At Risk,45,4,569.4
Lost / Low Value,23,1,30.0
Occasional / At Risk,190,4,583.85
Lost / Low Value,44,1,77.85
Loyal Customers,25,8,1470.24
Lost / Low Value,317,1,19.8
Lost / Low Value,106,1,124.1
Hibernating,51,1,311.43
Loyal Customers,168,2,1887.45
Hibernating,40,1,301.32
Occasional / At Risk,40,4,437.0
Lost / Low Value,297,1,157.15
Loyal Customers,26,6,1179.81
Loyal Customers,88,4,2054.26
Loyal Customers,73,4,1823.6100000000001
Occasional / At Risk,81,3,216.16
Loyal Customers,19,3,2787.22
Hibernating,49,1,580.93
Hibernating,53,1,290.3
Loyal Customers,24,4,690.98
Loyal Customers,9,3,1153.39
Loyal Customers,25,5,1358.16
Lost / Low Value,117,1,152.95
Champions (VIP),9,9,2344.23
Occasional / At Risk,120,2,238.8
Occasional / At Risk,4,2,201.48
Hibernating,28,1,191.04
Champions (VIP),8,11,2436.7599999999998
Hibernating,267,2,357.81
Champions (VIP),33,8,2235.91
Hibernating,18,1,201.0
Hibernating,172,2,551.43
Champions (VIP),2,4,1175.66
Lost / Low Value,265,1,211.5
Loyal Customers,140,4,1778.3700000000001
Lost / Low Value,201,1,19.5
Loyal Customers,65,3,714.16
Loyal Customers,35,4,793.76
Loyal Customers,41,7,2667.2200000000003
Lost / Low Value,284,1,69.65
Loyal Customers,9,5,842.9
Occasional / At Risk,143,2,266.6
Loyal Customers,12,2,254.53
Loyal Customers,146,4,824.64
Lost / Low Value,234,1,150.3
Champions (VIP),33,13,4629.97
Hibernating,24,1,423.03000000000003
Hibernating,12,1,458.90000000000003
Loyal Customers,36,4,847.4200000000001
Hibernating,365,1,137.0
Occasional / At Risk,201,2,218.25
Hibernating,15,1,382.25
Champions (VIP),17,7,3889.91
Lost / Low Value,213,1,85.0
Loyal Customers,66,3,943.91
Occasional / At Risk,212,2,280.2
Lost / Low Value,283,1,112.4
Occasional / At Risk,115,2,376.35
Loyal Customers,15,7,948.85
Champions (VIP),19,16,3804.94
Lost / Low Value,66,1,77.6
Lost / Low Value,49,1,126.80000000000001
Loyal Customers,16,4,565.76
Lost / Low Value,78,1,6.959999999999999
Loyal Customers,19,4,928.5400000000001
Hibernating,134,1,182.96
Loyal Customers,13,3,631.09
Hibernating,40,1,134.41
Champions (VIP),3,8,2171.15
Champions (VIP),40,7,2594.4700000000003
Occasional / At Risk,51,3,458.57
Champions (VIP),10,6,2059.84
Loyal Customers,61,4,454.41
Loyal Customers,66,2,672.88
Hibernating,25,1,205.25
Occasional / At Risk,297,2,77.24000000000001
Hibernating,65,2,482.95000000000005
Loyal Customers,32,2,602.87
Loyal Customers,88,6,2602.27
Hibernating,64,1,273.65999999999997
Occasional / At Risk,116,3,331.03
Lost / Low Value,235,1,122.03999999999999
Lost / Low Value,6,1,128.8
Hibernating,69,1,189.75
Lost / Low Value,245,1,87.9
Hibernating,133,1,164.13
Occasional / At Risk,241,3,309.21000000000004
Occasional / At Risk,184,3,402.08
Occasional / At Risk,25,3,254.91
Loyal Customers,10,3,1351.38
Hibernating,11,1,165.62
Loyal Customers,33,5,1115.67
Loyal Customers,46,3,4164.45
Loyal Customers,26,3,752.56
Hibernating,358,1,297.65999999999997
Hibernating,10,1,143.43
Loyal Customers,44,2,1297.17
Occasional / At Risk,15,2,133.92000000000002
Hibernating,150,1,495.52
Champions (VIP),1,8,2046.21
Loyal Customers,76,3,715.04
Loyal Customers,107,2,588.69
Loyal Customers,46,3,997.85
Lost / Low Value,51,1,154.86
Champions (VIP),1,13,3350.18
Champions (VIP),23,16,4665.85
Occasional / At Risk,46,3,671.22
Loyal Customers,50,2,798.1
Loyal Customers,306,4,2909.07
Occasional / At Risk,36,4,321.4
Loyal Customers,79,4,1307.23
Loyal Customers,22,6,1910.63
Occasional / At Risk,107,4,506.38000000000005
Hibernating,208,2,728.86
Loyal Customers,17,4,994.09
Occasional / At Risk,64,3,522.48
Loyal Customers,49,4,1728.57
Lost / Low Value,320,1,116.97999999999999
Hibernating,44,2,396.86
Occasional / At Risk,3,2,627.02
Hibernating,172,1,199.44
Loyal Customers,56,3,1331.97
Loyal Customers,73,14,1463.24
Hibernating,99,2,517.8199999999999
Hibernating,38,1,459.5
Loyal Customers,58,3,392.02
Hibernating,254,1,821.49
Loyal Customers,70,3,1478.98
